bookId-chunkNo,F0,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21
pg11005-6,0.0286,0.3084,0.1506,0.0841,0.0135,0.0231,0.0232,0.0486,0.0821,0.0006,0.0031,0.0058,0.0053,0.0813,-0.1678,0.0372,0.4310,0.2759,0.2931,0.7947,0.0243,-0.2794
pg11005-5,0.0344,0.2958,0.1613,0.0973,0.0180,0.0179,0.0230,0.0445,0.0869,0.0005,0.0022,0.0063,0.0066,0.0765,-0.1804,0.0428,0.5000,0.2414,0.2586,0.8228,0.0243,-0.2794
pg11005-4,0.0297,0.4226,0.0885,0.0736,0.0168,0.0252,0.0277,0.0435,0.0830,0.0013,0.0017,0.0040,0.0040,0.0782,-0.1697,0.0281,0.3793,0.2241,0.3966,0.7740,0.0243,-0.2794
pg11005-3,0.0230,0.4016,0.1916,0.0903,0.0235,0.0263,0.0289,0.0456,0.0882,0.0005,0.0016,0.0029,0.0046,0.0795,-0.1767,0.0281,0.4483,0.2586,0.2931,0.8200,0.0243,-0.2794
pg11005-8,0.0285,0.3818,0.1861,0.0911,0.0222,0.0235,0.0274,0.0474,0.0863,0.0003,0.0013,0.0040,0.0052,0.0804,-0.1744,0.0323,0.3793,0.3103,0.3103,0.8039,0.0243,-0.2794
pg11005-7,0.0335,0.3250,0.2451,0.0921,0.0242,0.0245,0.0246,0.0477,0.0898,0.0000,0.0013,0.0036,0.0062,0.0772,-0.1820,0.0409,0.4138,0.3448,0.2414,0.8202,0.0243,-0.2794
pg53604-2,0.0318,0.2646,0.0771,0.0986,0.0182,0.0171,0.0207,0.0559,0.0565,0.0000,0.0017,0.0002,0.0112,0.0785,-0.1328,0.0333,0.4000,0.2250,0.3750,0.8456,-0.0480,-1.0228
pg53604-3,0.0302,0.2602,0.1192,0.0904,0.0153,0.0185,0.0207,0.0562,0.0533,0.0000,0.0018,0.0006,0.0085,0.0793,-0.1130,0.0315,0.3000,0.2750,0.4250,0.8227,-0.0480,-1.0228
pg53604-1,0.0253,0.1929,0.0614,0.0889,0.0153,0.0175,0.0231,0.0680,0.0530,0.0001,0.0027,0.0007,0.0100,0.0946,-0.1037,0.0292,0.2750,0.2500,0.4750,0.8144,-0.0480,-1.0228
pg53604-6,0.0242,0.3259,0.0329,0.0942,0.0181,0.0210,0.0236,0.0627,0.0524,0.0001,0.0014,0.0004,0.0058,0.0882,-0.0953,0.0272,0.2500,0.1250,0.6250,0.8199,-0.0480,-1.0228
pg53604-7,0.0291,0.2085,0.0507,0.0961,0.0123,0.0209,0.0225,0.0621,0.0566,0.0001,0.0005,0.0005,0.0088,0.0857,-0.1233,0.0327,0.3000,0.2250,0.4750,0.8733,-0.0480,-1.0228
pg53604-4,0.0276,0.2243,0.2273,0.0778,0.0203,0.0207,0.0304,0.0603,0.0550,0.0003,0.0008,0.0004,0.0080,0.0922,-0.1079,0.0276,0.2500,0.1500,0.6000,0.7965,-0.0480,-1.0228
pg53604-5,0.0304,0.3189,0.0388,0.0947,0.0135,0.0190,0.0245,0.0577,0.0542,0.0001,0.0012,0.0007,0.0111,0.0842,-0.1306,0.0331,0.3250,0.2250,0.4500,0.8478,-0.0480,-1.0228
pg53604-8,0.0251,0.2809,0.0353,0.0946,0.0129,0.0240,0.0242,0.0643,0.0549,0.0001,0.0006,0.0007,0.0075,0.0899,-0.1090,0.0284,0.2821,0.1282,0.5897,0.8374,-0.0480,-1.0228
pg53604-9,0.0223,0.2495,0.0146,0.0913,0.0117,0.0200,0.0260,0.0605,0.0543,0.0003,0.0005,0.0011,0.0059,0.0884,-0.0994,0.0245,0.4500,0.1500,0.4000,0.8312,-0.0480,-1.0228
pg12891-2,0.0167,0.3830,0.0629,0.0747,0.0287,0.0299,0.0339,0.0578,0.0529,0.0011,0.0024,0.0045,0.0070,0.0997,-0.0733,0.0176,0.2121,0.0909,0.6970,0.7665,-0.0692,-0.9250
pg12891-1,0.0160,0.3330,0.2511,0.0623,0.0269,0.0337,0.0375,0.0522,0.0477,0.0015,0.0037,0.0025,0.0029,0.0974,-0.0300,0.0128,0.2941,0.1765,0.5294,0.7268,-0.0692,-0.9250
pg12891-4,0.0198,0.2954,0.3515,0.0845,0.0367,0.0303,0.0325,0.0590,0.0570,0.0013,0.0031,0.0038,0.0052,0.0997,-0.0934,0.0177,0.4857,0.2000,0.3143,0.7761,-0.0692,-0.9250
pg12891-3,0.0223,0.1589,0.3916,0.0833,0.0306,0.0295,0.0356,0.0503,0.0566,0.0014,0.0026,0.0018,0.0049,0.0917,-0.0829,0.0191,0.2000,0.2000,0.6000,0.7768,-0.0692,-0.9250
pg35361-1,0.0233,0.2984,0.1275,0.0743,0.0316,0.0244,0.0225,0.0744,0.0470,0.0002,0.0001,0.0035,0.0041,0.1007,-0.0498,0.0291,0.2353,0.1176,0.6471,0.6379,-0.0501,-0.1139
pg35361-2,0.0273,0.2688,0.0858,0.0885,0.0257,0.0223,0.0214,0.0687,0.0501,0.0001,0.0001,0.0032,0.0032,0.0935,-0.0669,0.0336,0.1765,0.4412,0.3824,0.6724,-0.0501,-0.1139
pg38489-11,0.0195,0.4083,0.2489,0.0822,0.0342,0.0240,0.0300,0.0395,0.0855,0.0000,0.0004,0.0049,0.0049,0.0748,-0.1639,0.0123,0.3902,0.1951,0.4146,0.6937,-0.0426,-0.1295
pg35361-3,0.0183,0.2749,0.0654,0.0890,0.0303,0.0257,0.0244,0.0764,0.0455,0.0000,0.0005,0.0057,0.0032,0.1070,-0.0428,0.0249,0.1471,0.3529,0.5000,0.7089,-0.0501,-0.1139
pg35361-4,0.0224,0.2431,0.1596,0.0914,0.0283,0.0218,0.0197,0.0735,0.0489,0.0000,0.0004,0.0044,0.0027,0.0980,-0.0556,0.0285,0.2000,0.2000,0.6000,0.6705,-0.0501,-0.1139
pg35361-5,0.0273,0.1756,0.1630,0.1089,0.0261,0.0236,0.0229,0.0645,0.0531,0.0000,0.0000,0.0037,0.0047,0.0911,-0.0930,0.0357,0.2571,0.2571,0.4857,0.7409,-0.0501,-0.1139
pg38489-10,0.0209,0.3953,0.1896,0.0775,0.0280,0.0210,0.0282,0.0401,0.0748,0.0005,0.0006,0.0039,0.0041,0.0733,-0.1473,0.0126,0.3415,0.2439,0.4146,0.6764,-0.0426,-0.1295
pg35361-6,0.0250,0.2280,0.1664,0.0992,0.0258,0.0263,0.0267,0.0625,0.0535,0.0001,0.0005,0.0050,0.0050,0.0948,-0.0960,0.0300,0.3143,0.1429,0.5429,0.7699,-0.0501,-0.1139
pg35361-7,0.0226,0.2553,0.0936,0.0828,0.0304,0.0254,0.0254,0.0714,0.0491,0.0000,0.0008,0.0028,0.0029,0.1004,-0.0546,0.0265,0.3824,0.1765,0.4412,0.7111,-0.0501,-0.1139
pg35361-8,0.0238,0.2420,0.1954,0.1022,0.0288,0.0262,0.0210,0.0620,0.0516,0.0000,0.0004,0.0051,0.0030,0.0885,-0.0724,0.0269,0.4000,0.3143,0.2857,0.7093,-0.0501,-0.1139
pg35361-9,0.0251,0.1771,0.1544,0.1014,0.0262,0.0227,0.0240,0.0665,0.0544,0.0000,0.0003,0.0039,0.0052,0.0947,-0.0930,0.0320,0.3235,0.2353,0.4412,0.7411,-0.0501,-0.1139
pg4045HermanOmmo-8,0.0155,0.2721,0.0116,0.0501,0.0158,0.0282,0.0359,0.0803,0.0353,0.0017,0.0201,0.0060,0.0032,0.1439,0.0658,0.0064,0.0000,0.0526,0.9474,0.5810,-0.0108,0.9852
pg4045HermanOmmo-7,0.0145,0.1533,0.0249,0.0369,0.0153,0.0321,0.0348,0.0798,0.0348,0.0016,0.0154,0.0043,0.0013,0.1359,0.1017,0.0051,0.0000,0.1053,0.8947,0.5097,-0.0108,0.9852
pg4045HermanOmmo-6,0.0148,0.3045,0.0316,0.0542,0.0187,0.0290,0.0372,0.0824,0.0345,0.0014,0.0160,0.0051,0.0018,0.1421,0.0969,0.0048,0.0952,0.1429,0.7619,0.5945,-0.0108,0.9852
pg4045HermanOmmo-5,0.0146,0.2560,0.0316,0.0498,0.0166,0.0305,0.0343,0.0794,0.0347,0.0011,0.0143,0.0055,0.0031,0.1346,0.0853,0.0058,0.0952,0.1905,0.7143,0.5812,-0.0108,0.9852
pg4045HermanOmmo-4,0.0163,0.3392,0.0338,0.0559,0.0181,0.0312,0.0332,0.0809,0.0348,0.0023,0.0152,0.0067,0.0048,0.1383,0.0577,0.0071,0.2500,0.1500,0.6000,0.6426,-0.0108,0.9852
pg34282-10,0.0240,0.1777,0.3904,0.0822,0.0264,0.0279,0.0228,0.0664,0.0478,0.0017,0.0186,0.0065,0.0089,0.1160,-0.0733,0.0226,0.2500,0.3125,0.4375,0.7968,0.0062,-0.3288
pg34282-11,0.0260,0.1563,0.2589,0.1029,0.0238,0.0259,0.0230,0.0598,0.0474,0.0007,0.0183,0.0093,0.0125,0.1111,-0.0949,0.0278,0.3226,0.2903,0.3871,0.8347,0.0062,-0.3288
pg34282-12,0.0249,0.1805,0.1847,0.1020,0.0225,0.0253,0.0232,0.0665,0.0479,0.0005,0.0200,0.0094,0.0078,0.1196,-0.0716,0.0245,0.2188,0.2188,0.5625,0.8101,0.0062,-0.3288
pg12891-9,0.0189,0.3500,0.1681,0.0769,0.0248,0.0278,0.0358,0.0528,0.0551,0.0011,0.0033,0.0034,0.0073,0.0964,-0.0866,0.0191,0.4412,0.2059,0.3529,0.7716,-0.0692,-0.9250
pg12891-6,0.0204,0.4547,0.0783,0.0789,0.0271,0.0275,0.0320,0.0541,0.0564,0.0013,0.0028,0.0050,0.0051,0.0952,-0.0837,0.0195,0.1818,0.1818,0.6364,0.7142,-0.0692,-0.9250
pg12891-5,0.0173,0.2791,0.3344,0.0922,0.0382,0.0299,0.0323,0.0548,0.0551,0.0004,0.0033,0.0032,0.0052,0.0940,-0.0778,0.0157,0.4286,0.1143,0.4571,0.7583,-0.0692,-0.9250
pg12891-8,0.0230,0.2642,0.1948,0.0934,0.0262,0.0257,0.0331,0.0534,0.0565,0.0015,0.0034,0.0058,0.0105,0.0972,-0.1079,0.0230,0.3429,0.3143,0.3429,0.7979,-0.0692,-0.9250
pg12891-7,0.0158,0.3090,0.3072,0.0819,0.0317,0.0274,0.0382,0.0484,0.0502,0.0011,0.0060,0.0034,0.0077,0.0971,-0.0711,0.0151,0.2059,0.1176,0.6765,0.7572,-0.0692,-0.9250
pg29729-1,0.0270,0.1610,0.1886,0.0838,0.0249,0.0233,0.0436,0.0671,0.0412,0.0024,0.0036,0.0051,0.0148,0.1218,-0.0650,0.0182,0.4063,0.1875,0.4063,0.7444,-0.0639,-0.5615
pg29729-2,0.0311,0.1065,0.2583,0.0814,0.0332,0.0224,0.0409,0.0687,0.0445,0.0023,0.0039,0.0035,0.0113,0.1193,-0.0581,0.0219,0.2903,0.3548,0.3548,0.7282,-0.0639,-0.5615
pg29729-3,0.0279,0.1701,0.3045,0.0763,0.0301,0.0236,0.0455,0.0684,0.0409,0.0013,0.0039,0.0039,0.0078,0.1230,-0.0079,0.0152,0.0968,0.2581,0.6452,0.6812,-0.0639,-0.5615
pg29729-4,0.0277,0.1947,0.1492,0.0720,0.0292,0.0217,0.0396,0.0622,0.0407,0.0022,0.0038,0.0039,0.0068,0.1117,-0.0127,0.0172,0.2581,0.0968,0.6452,0.6720,-0.0639,-0.5615
pg29729-5,0.0318,0.1473,0.1860,0.0754,0.0272,0.0213,0.0419,0.0705,0.0425,0.0012,0.0029,0.0040,0.0101,0.1205,-0.0285,0.0184,0.2258,0.3226,0.4516,0.6828,-0.0639,-0.5615
